No.;Time;;No;Time;Time 2;;Delay;Total Delay ;;Delay 1;Delay 2;;Jitter;Total Jitter
99;3.738.119;;99;3,738119;3,741583;;0,003464;;;0,002752;-0,000572;;-0,003324;
100;3.741.583;;100;3,741583;3,742295;;0,000712;;;-0,000572;0,00074;;0,001312;
101;3.742.295;;101;3,742295;3,743579;;0,001284;;;0,00074;0;;-0,00074;
102;3.743.579;;102;3,743579;3,744123;;0,000544;;;0;-2,4E-05;;-2,4E-05;
103;3.744.123;;103;3,744123;3,744667;;0,000544;;;-2,4E-05;-0,029235;;-0,029211;
104;3.744.667;;104;3,744667;3,745235;;0,000568;;;-0,029235;0,00938;;0,038615;
105;3.745.235;;105;3,745235;3,775038;;0,029803;;;0,00938;0,020409;;0,011029;
106;3.775.038;;106;3,775038;3,795461;;0,020423;;;0,020409;-2,7E-05;;-0,020436;
107;3.795.461;;107;3,795461;3,795475;;1,4E-05;;;-2,7E-05;-0,000878;;-0,000851;
108;3.795.475;;108;3,795475;3,795516;;4,1E-05;;;-0,000878;0,000641;;0,001519;
109;3.795.516;;109;3,795516;3,796435;;0,000919;;;0,000641;6,4E-05;;-0,000577;
110;3.796.435;;110;3,796435;3,796713;;0,000278;;;6,4E-05;-0,017278;;-0,017342;
111;3.796.713;;111;3,796713;3,796927;;0,000214;;;-0,017278;0,017454;;0,034732;
112;3.796.927;;112;3,796927;3,814419;;0,017492;;;0,017454;2,5E-05;;-0,017429;
113;3.814.419;;113;3,814419;3,814457;;3,8E-05;;;2,5E-05;3E-06;;-2,2E-05;
114;3.814.457;;114;3,814457;3,81447;;1,3E-05;;;3E-06;-2E-06;;-5E-06;
115;3.814.470;;115;3,81447;3,81448;;1E-05;;;-2E-06;2E-06;;4E-06;
116;3.814.480;;116;3,81448;3,814492;;1,2E-05;;;2E-06;-1E-06;;-3E-06;
117;3.814.492;;117;3,814492;3,814502;;1E-05;;;-1E-06;-2E-06;;-1E-06;
118;3.814.502;;118;3,814502;3,814513;;1,1E-05;;;-2E-06;4E-06;;6E-06;
119;3.814.513;;119;3,814513;3,814526;;1,3E-05;;;4E-06;-0,001765;;-0,001769;
120;3.814.526;;120;3,814526;3,814535;;9E-06;;;-0,001765;0,001734;;0,003499;
121;3.814.535;;121;3,814535;3,816309;;0,001774;;;0,001734;3,1E-05;;-0,001703;
122;3.816.309;;122;3,816309;3,816349;;4E-05;;;3,1E-05;-1E-06;;-3,2E-05;
123;3.816.349;;123;3,816349;3,816358;;9E-06;;;-1E-06;2E-06;;3E-06;
124;3.816.358;;124;3,816358;3,816368;;1E-05;;;2E-06;-5,8E-05;;-6E-05;
125;3.816.368;;125;3,816368;3,816376;;8E-06;;;-5,8E-05;-5,8E-05;;0;
126;3.816.376;;126;3,816376;3,816442;;6,6E-05;;;-5,8E-05;-0,000175;;-0,000117;
127;3.816.442;;127;3,816442;3,816566;;0,000124;;;-0,000175;0,000188;;0,000363;
128;3.816.566;;128;3,816566;3,816865;;0,000299;;;0,000188;1E-05;;-0,000178;
129;3.816.865;;129;3,816865;3,816976;;0,000111;;;1E-05;-7E-05;;-8E-05;
130;3.816.976;;130;3,816976;3,817077;;0,000101;;;-7E-05;6,1E-05;;0,000131;
131;3.817.077;;131;3,817077;3,817248;;0,000171;;;6,1E-05;-0,000122;;-0,000183;
132;3.817.248;;132;3,817248;3,817358;;0,00011;;;-0,000122;0,00015;;0,000272;
133;3.817.358;;133;3,817358;3,81759;;0,000232;;;0,00015;-0,028556;;-0,028706;
134;3.817.590;;134;3,81759;3,817672;;8,2E-05;;;-0,028556;0,01756;;0,046116;
135;3.817.672;;135;3,817672;3,84631;;0,028638;;;0,01756;0,010921;;-0,006639;
136;3.846.310;;136;3,84631;3,857388;;0,011078;;;0,010921;-0,032525;;-0,043446;
137;3.857.388;;137;3,857388;3,857545;;0,000157;;;-0,032525;0,024321;;0,056846;
138;3.857.545;;138;3,857545;3,890227;;0,032682;;;0,024321;0,007741;;-0,01658;
139;3.890.227;;139;3,890227;3,898588;;0,008361;;;0,007741;-0,022525;;-0,030266;
140;3.898.588;;140;3,898588;3,899208;;0,00062;;;-0,022525;-0,108758;;-0,086233;
141;3.899.208;;141;3,899208;3,922353;;0,023145;;;-0,108758;0,131868;;0,240626;
142;3.922.353;;142;3,922353;4,054256;;0,131903;;;0,131868;2,3E-05;;-0,131845;
143;4.054.256;;143;4,054256;4,054291;;3,5E-05;;;2,3E-05;-0,000133;;-0,000156;
144;4.054.291;;144;4,054291;4,054303;;1,2E-05;;;-0,000133;-0,000774;;-0,000641;
145;4.054.303;;145;4,054303;4,054448;;0,000145;;;-0,000774;-0,052079;;-0,051305;
146;4.054.448;;146;4,054448;4,055367;;0,000919;;;-0,052079;0,035892;;0,087971;
147;4.055.367;;147;4,055367;4,108365;;0,052998;;;0,035892;0,017105;;-0,018787;
148;4.108.365;;148;4,108365;4,125471;;0,017106;;;0,017105;-0,000526;;-0,017631;
149;4.125.471;;149;4,125471;4,125472;;1E-06;;;-0,000526;-0,038883;;-0,038357;
150;4.125.472;;150;4,125472;4,125999;;0,000527;;;-0,038883;0,035343;;0,074226;
151;4.125.999;;151;4,125999;4,165409;;0,03941;;;0,035343;0,000439;;-0,034904;
152;4.165.409;;152;4,165409;4,169476;;0,004067;;;0,000439;0,001521;;0,001082;
153;4.169.476;;153;4,169476;4,173104;;0,003628;;;0,001521;0,001909;;0,000388;
154;4.173.104;;154;4,173104;4,175211;;0,002107;;;0,001909;-0,000222;;-0,002131;
155;4.175.211;;155;4,175211;4,175409;;0,000198;;;-0,000222;-0,073063;;-0,072841;
156;4.175.409;;156;4,175409;4,175829;;0,00042;;;-0,073063;-0,163718;;-0,090655;
157;4.175.829;;157;4,175829;4,249312;;0,073483;;;-0,163718;0,237167;;0,400885;
158;4.249.312;;158;4,249312;4,486513;;0,237201;;;0,237167;2,2E-05;;-0,237145;
159;4.486.513;;159;4,486513;4,486547;;3,4E-05;;;2,2E-05;0;;-2,2E-05;
160;4.486.547;;160;4,486547;4,486559;;1,2E-05;;;0;-8,88178E-16;;-8,88178E-16;
161;4.486.559;;161;4,486559;4,486571;;1,2E-05;;;-8,88178E-16;1E-06;;1E-06;
162;4.486.571;;162;4,486571;4,486583;;1,2E-05;;;1E-06;-0,000548;;-0,000549;
163;4.486.583;;163;4,486583;4,486594;;1,1E-05;;;-0,000548;-0,001072;;-0,000524;
164;4.486.594;;164;4,486594;4,487153;;0,000559;;;-0,001072;0,001538;;0,00261;
165;4.487.153;;165;4,487153;4,488784;;0,001631;;;0,001538;-0,000197;;-0,001735;
166;4.488.784;;166;4,488784;4,488877;;9,3E-05;;;-0,000197;1,1E-05;;0,000208;
167;4.488.877;;167;4,488877;4,489167;;0,00029;;;1,1E-05;0,000278;;0,000267;
168;4.489.167;;168;4,489167;4,489446;;0,000279;;;0,000278;-0,090167;;-0,090445;
169;4.489.446;;169;4,489446;4,489447;;1E-06;;;-0,090167;0,090127;;0,180294;
170;4.489.447;;170;4,489447;4,579615;;0,090168;;;0,090127;2,4E-05;;-0,090103;
171;4.579.615;;171;4,579615;4,579656;;4,1E-05;;;2,4E-05;-0,000431;;-0,000455;
172;4.579.656;;172;4,579656;4,579673;;1,7E-05;;;-0,000431;0,000251;;0,000682;
173;4.579.673;;173;4,579673;4,580121;;0,000448;;;0,000251;-0,002209;;-0,00246;
174;4.580.121;;174;4,580121;4,580318;;0,000197;;;-0,002209;-0,011122;;-0,008913;
175;4.580.318;;175;4,580318;4,582724;;0,002406;;;-0,011122;0,013445;;0,024567;
176;4.582.724;;176;4,582724;4,596252;;0,013528;;;0,013445;-0,02783;;-0,041275;
177;4.596.252;;177;4,596252;4,596335;;8,3E-05;;;-0,02783;-0,129942;;-0,102112;
178;4.596.335;;178;4,596335;4,624248;;0,027913;;;-0,129942;0,146648;;0,27659;
179;4.624.248;;179;4,624248;4,782103;;0,157855;;;0,146648;0,010662;;-0,135986;
180;4.782.103;;180;4,782103;4,79331;;0,011207;;;0,010662;-0,005384;;-0,016046;
181;4.793.310;;181;4,79331;4,793855;;0,000545;;;-0,005384;0,005582;;0,010966;
182;4.793.855;;182;4,793855;4,799784;;0,005929;;;0,005582;4E-06;;-0,005578;
183;4.799.784;;183;4,799784;4,800131;;0,000347;;;4E-06;9,3E-05;;8,9E-05;
184;4.800.131;;184;4,800131;4,800474;;0,000343;;;9,3E-05;-0,001084;;-0,001177;
185;4.800.474;;185;4,800474;4,800724;;0,00025;;;-0,001084;0,00108;;0,002164;
186;4.800.724;;186;4,800724;4,802058;;0,001334;;;0,00108;-5E-05;;-0,00113;
187;4.802.058;;187;4,802058;4,802312;;0,000254;;;-5E-05;0,000119;;0,000169;
188;4.802.312;;188;4,802312;4,802616;;0,000304;;;0,000119;-8,8E-05;;-0,000207;
189;4.802.616;;189;4,802616;4,802801;;0,000185;;;-8,8E-05;9,6E-05;;0,000184;
190;4.802.801;;190;4,802801;4,803074;;0,000273;;;9,6E-05;-1E-04;;-0,000196;
191;4.803.074;;191;4,803074;4,803251;;0,000177;;;-1E-04;9,4E-05;;0,000194;
192;4.803.251;;192;4,803251;4,803528;;0,000277;;;9,4E-05;-5,8E-05;;-0,000152;
193;4.803.528;;193;4,803528;4,803711;;0,000183;;;-5,8E-05;7,8E-05;;0,000136;
194;4.803.711;;194;4,803711;4,803952;;0,000241;;;7,8E-05;-1E-06;;-7,9E-05;
195;4.803.952;;195;4,803952;4,804115;;0,000163;;;-1E-06;3,2E-05;;3,3E-05;
196;4.804.115;;196;4,804115;4,804279;;0,000164;;;3,2E-05;-6E-05;;-9,2E-05;
197;4.804.279;;197;4,804279;4,804411;;0,000132;;;-6E-05;7,3E-05;;0,000133;
198;4.804.411;;198;4,804411;4,804603;;0,000192;;;7,3E-05;-0,000355;;-0,000428;
199;4.804.603;;199;4,804603;4,804722;;0,000119;;;-0,000355;-0,002691;;-0,002336;
200;4.804.722;;200;4,804722;4,805196;;0,000474;;;-0,002691;0,001285;;0,003976;
201;4.805.196;;201;4,805196;4,808361;;0,003165;;;0,001285;0,001852;;0,000567;
202;4.808.361;;202;4,808361;4,810241;;0,00188;;;0,001852;-0,00107;;-0,002922;
203;4.810.241;;203;4,810241;4,810269;;2,8E-05;;;-0,00107;-0,037473;;-0,036403;
204;4.810.269;;204;4,810269;4,811367;;0,001098;;;-0,037473;0,035243;;0,072716;
205;4.811.367;;205;4,811367;4,849938;;0,038571;;;0,035243;0,002847;;-0,032396;
206;4.849.938;;206;4,849938;4,853266;;0,003328;;;0,002847;-0,003501;;-0,006348;
207;4.853.266;;207;4,853266;4,853747;;0,000481;;;-0,003501;0,003703;;0,007204;
208;4.853.747;;208;4,853747;4,857729;;0,003982;;;0,003703;1,1E-05;;-0,003692;
209;4.857.729;;209;4,857729;4,858008;;0,000279;;;1,1E-05;0,000127;;0,000116;
210;4.858.008;;210;4,858008;4,858276;;0,000268;;;0,000127;-6,9E-05;;-0,000196;
211;4.858.276;;211;4,858276;4,858417;;0,000141;;;-6,9E-05;-1,5E-05;;5,4E-05;
212;4.858.417;;212;4,858417;4,858627;;0,00021;;;-1,5E-05;5E-05;;6,5E-05;
213;4.858.627;;213;4,858627;4,858852;;0,000225;;;5E-05;0,000143;;9,3E-05;
214;4.858.852;;214;4,858852;4,859027;;0,000175;;;0,000143;-0,000127;;-0,00027;
215;4.859.027;;215;4,859027;4,859059;;3,2E-05;;;-0,000127;0,000118;;0,000245;
216;4.859.059;;216;4,859059;4,859218;;0,000159;;;0,000118;-0,000456;;-0,000574;
217;4.859.218;;217;4,859218;4,859259;;4,1E-05;;;-0,000456;-5,7E-05;;0,000399;
218;4.859.259;;218;4,859259;4,859756;;0,000497;;;-5,7E-05;4E-05;;9,7E-05;
219;4.859.756;;219;4,859756;4,86031;;0,000554;;;4E-05;2,2E-05;;-1,8E-05;
220;4.860.310;;220;4,86031;4,860824;;0,000514;;;2,2E-05;-0,002385;;-0,002407;
221;4.860.824;;221;4,860824;4,861316;;0,000492;;;-0,002385;-0,004529;;-0,002144;
222;4.861.316;;222;4,861316;4,864193;;0,002877;;;-0,004529;3,5E-05;;0,004564;
223;4.864.193;;223;4,864193;4,871599;;0,007406;;;3,5E-05;0,007209;;0,007174;
224;4.871.599;;224;4,871599;4,87897;;0,007371;;;0,007209;-0,00014;;-0,007349;
225;4.878.970;;225;4,87897;4,879132;;0,000162;;;-0,00014;0,000291;;0,000431;
226;4.879.132;;226;4,879132;4,879434;;0,000302;;;0,000291;-0,00011;;-0,000401;
227;4.879.434;;227;4,879434;4,879445;;1,1E-05;;;-0,00011;7,6E-05;;0,000186;
228;4.879.445;;228;4,879445;4,879566;;0,000121;;;7,6E-05;-0,00043;;-0,000506;
229;4.879.566;;229;4,879566;4,879611;;4,5E-05;;;-0,00043;-0,002092;;-0,001662;
230;4.879.611;;230;4,879611;4,880086;;0,000475;;;-0,002092;-0,03455;;-0,032458;
231;4.880.086;;231;4,880086;4,882653;;0,002567;;;-0,03455;0,036815;;0,071365;
232;4.882.653;;232;4,882653;4,91977;;0,037117;;;0,036815;0,000169;;-0,036646;
233;4.919.770;;233;4,91977;4,920072;;0,000302;;;0,000169;-0,005174;;-0,005343;
234;4.920.072;;234;4,920072;4,920205;;0,000133;;;-0,005174;0,005296;;0,01047;
235;4.920.205;;235;4,920205;4,925512;;0,005307;;;0,005296;6E-06;;-0,00529;
236;4.925.512;;236;4,925512;4,925523;;1,1E-05;;;6E-06;-9,8E-05;;-0,000104;
237;4.925.523;;237;4,925523;4,925528;;5E-06;;;-9,8E-05;9,8E-05;;0,000196;
238;4.925.528;;238;4,925528;4,925631;;0,000103;;;9,8E-05;-9,4E-05;;-0,000192;
239;4.925.631;;239;4,925631;4,925636;;5E-06;;;-9,4E-05;6,6E-05;;0,00016;
240;4.925.636;;240;4,925636;4,925735;;9,9E-05;;;6,6E-05;-1E-06;;-6,7E-05;
241;4.925.735;;241;4,925735;4,925768;;3,3E-05;;;-1E-06;-4,7E-05;;-4,6E-05;
242;4.925.768;;242;4,925768;4,925802;;3,4E-05;;;-4,7E-05;1,1E-05;;5,8E-05;
243;4.925.802;;243;4,925802;4,925883;;8,1E-05;;;1,1E-05;-0,000143;;-0,000154;
244;4.925.883;;244;4,925883;4,925953;;7E-05;;;-0,000143;3,5E-05;;0,000178;
245;4.925.953;;245;4,925953;4,926166;;0,000213;;;3,5E-05;3,4E-05;;-1E-06;
246;4.926.166;;246;4,926166;4,926344;;0,000178;;;3,4E-05;-0,008232;;-0,008266;
247;4.926.344;;247;4,926344;4,926488;;0,000144;;;-0,008232;0,000762;;0,008994;
248;4.926.488;;248;4,926488;4,934864;;0,008376;;;0,000762;0,0039;;0,003138;
249;4.934.864;;249;4,934864;4,942478;;0,007614;;;0,0039;0,003562;;-0,000338;
250;4.942.478;;250;4,942478;4,946192;;0,003714;;;0,003562;-0,000129;;-0,003691;
251;4.946.192;;251;4,946192;4,946344;;0,000152;;;-0,000129;-0,011348;;-0,011219;
252;4.946.344;;252;4,946344;4,946625;;0,000281;;;-0,011348;0,011612;;0,02296;
253;4.946.625;;253;4,946625;4,958254;;0,011629;;;0,011612;-0,000152;;-0,011764;
