No.;Time;;No.;Time;Time 2;;Delay;Total Delay;;Delay 1;Delay 2;;Jitter;Total Jitter
166;6.652.668;;166;6,652668;6,652695;;2,7E-05;;;-0,000692;-0,00031;;0,000382;
167;6.652.695;;167;6,652695;6,653414;;0,000719;;;-0,00031;0,000484;;0,000794;
168;6.653.414;;168;6,653414;6,654443;;0,001029;;;0,000484;-3E-05;;-0,000514;
169;6.654.443;;169;6,654443;6,654988;;0,000545;;;-3E-05;-0,012744;;-0,012714;
170;6.654.988;;170;6,654988;6,655563;;0,000575;;;-0,012744;0,012588;;0,025332;
171;6.655.563;;171;6,655563;6,668882;;0,013319;;;0,012588;-0,014483;;-0,027071;
172;6.668.882;;172;6,668882;6,669613;;0,000731;;;-0,014483;0,000601;;0,015084;
173;6.669.613;;173;6,669613;6,684827;;0,015214;;;0,000601;0,009685;;0,009084;
174;6.684.827;;174;6,684827;6,69944;;0,014613;;;0,009685;0,002845;;-0,00684;
175;6.699.440;;175;6,69944;6,704368;;0,004928;;;0,002845;0,000769;;-0,002076;
176;6.704.368;;176;6,704368;6,706451;;0,002083;;;0,000769;-0,026377;;-0,027146;
177;6.706.451;;177;6,706451;6,707765;;0,001314;;;-0,026377;0,003652;;0,030029;
178;6.707.765;;178;6,707765;6,735456;;0,027691;;;0,003652;0,018343;;0,014691;
179;6.735.456;;179;6,735456;6,759495;;0,024039;;;0,018343;-0,006889;;-0,025232;
180;6.759.495;;180;6,759495;6,765191;;0,005696;;;-0,006889;0,01257;;0,019459;
181;6.765.191;;181;6,765191;6,777776;;0,012585;;;0,01257;-9E-05;;-0,01266;
182;6.777.776;;182;6,777776;6,777791;;1,5E-05;;;-9E-05;-0,000761;;-0,000671;
183;6.777.791;;183;6,777791;6,777896;;0,000105;;;-0,000761;-0,010281;;-0,00952;
184;6.777.896;;184;6,777896;6,778762;;0,000866;;;-0,010281;-0,016627;;-0,006346;
185;6.778.762;;185;6,778762;6,789909;;0,011147;;;-0,016627;0,027739;;0,044366;
186;6.789.909;;186;6,789909;6,817683;;0,027774;;;0,027739;-0,000578;;-0,028317;
187;6.817.683;;187;6,817683;6,817718;;3,5E-05;;;-0,000578;0,000495;;0,001073;
188;6.817.718;;188;6,817718;6,818331;;0,000613;;;0,000495;5,6E-05;;-0,000439;
189;6.818.331;;189;6,818331;6,818449;;0,000118;;;5,6E-05;-0,000601;;-0,000657;
190;6.818.449;;190;6,818449;6,818511;;6,2E-05;;;-0,000601;-0,000162;;0,000439;
191;6.818.511;;191;6,818511;6,819174;;0,000663;;;-0,000162;0,000275;;0,000437;
192;6.819.174;;192;6,819174;6,819999;;0,000825;;;0,000275;0,000536;;0,000261;
193;6.819.999;;193;6,819999;6,820549;;0,00055;;;0,000536;-0,000284;;-0,00082;
194;6.820.549;;194;6,820549;6,820563;;1,4E-05;;;-0,000284;-0,009444;;-0,00916;
195;6.820.563;;195;6,820563;6,820861;;0,000298;;;-0,009444;0,009715;;0,019159;
196;6.820.861;;196;6,820861;6,830603;;0,009742;;;0,009715;-0,000739;;-0,010454;
197;6.830.603;;197;6,830603;6,83063;;2,7E-05;;;-0,000739;-0,000608;;0,000131;
198;6.830.630;;198;6,83063;6,831396;;0,000766;;;-0,000608;0,001257;;0,001865;
199;6.831.396;;199;6,831396;6,83277;;0,001374;;;0,001257;-0,000171;;-0,001428;
200;6.832.770;;200;6,83277;6,832887;;0,000117;;;-0,000171;0,000222;;0,000393;
201;6.832.887;;201;6,832887;6,833175;;0,000288;;;0,000222;-0,019928;;-0,02015;
202;6.833.175;;202;6,833175;6,833241;;6,6E-05;;;-0,019928;-0,011587;;0,008341;
203;6.833.241;;203;6,833241;6,853235;;0,019994;;;-0,011587;0,031555;;0,043142;
204;6.853.235;;204;6,853235;6,884816;;0,031581;;;0,031555;1,6E-05;;-0,031539;
205;6.884.816;;205;6,884816;6,884842;;2,6E-05;;;1,6E-05;-7,8E-05;;-9,4E-05;
206;6.884.842;;206;6,884842;6,884852;;1E-05;;;-7,8E-05;-0,000716;;-0,000638;
207;6.884.852;;207;6,884852;6,88494;;8,8E-05;;;-0,000716;0,000786;;0,001502;
208;6.884.940;;208;6,88494;6,885744;;0,000804;;;0,000786;1,2E-05;;-0,000774;
209;6.885.744;;209;6,885744;6,885762;;1,8E-05;;;1,2E-05;-4,5E-05;;-5,7E-05;
210;6.885.762;;210;6,885762;6,885768;;6E-06;;;-4,5E-05;-0,000497;;-0,000452;
211;6.885.768;;211;6,885768;6,885819;;5,1E-05;;;-0,000497;0,000164;;0,000661;
212;6.885.819;;212;6,885819;6,886367;;0,000548;;;0,000164;5,9E-05;;-0,000105;
213;6.886.367;;213;6,886367;6,886751;;0,000384;;;5,9E-05;0,000146;;8,7E-05;
214;6.886.751;;214;6,886751;6,887076;;0,000325;;;0,000146;-0,005141;;-0,005287;
215;6.887.076;;215;6,887076;6,887255;;0,000179;;;-0,005141;0,005303;;0,010444;
216;6.887.255;;216;6,887255;6,892575;;0,00532;;;0,005303;-0,00047;;-0,005773;
217;6.892.575;;217;6,892575;6,892592;;1,7E-05;;;-0,00047;0,000347;;0,000817;
218;6.892.592;;218;6,892592;6,893079;;0,000487;;;0,000347;-0,001114;;-0,001461;
219;6.893.079;;219;6,893079;6,893219;;0,00014;;;-0,001114;0,00124;;0,002354;
220;6.893.219;;220;6,893219;6,894473;;0,001254;;;0,00124;-0,000359;;-0,001599;
221;6.894.473;;221;6,894473;6,894487;;1,4E-05;;;-0,000359;-0,000517;;-0,000158;
222;6.894.487;;222;6,894487;6,89486;;0,000373;;;-0,000517;0,000856;;0,001373;
223;6.894.860;;223;6,89486;6,89575;;0,00089;;;0,000856;-0,000575;;-0,001431;
224;6.895.750;;224;6,89575;6,895784;;3,4E-05;;;-0,000575;-0,001566;;-0,000991;
225;6.895.784;;225;6,895784;6,896393;;0,000609;;;-0,001566;0,002149;;0,003715;
226;6.896.393;;226;6,896393;6,898568;;0,002175;;;0,002149;-0,000354;;-0,002503;
227;6.898.568;;227;6,898568;6,898594;;2,6E-05;;;-0,000354;-0,025256;;-0,024902;
228;6.898.594;;228;6,898594;6,898974;;0,00038;;;-0,025256;0,001728;;0,026984;
229;6.898.974;;229;6,898974;6,92461;;0,025636;;;0,001728;0,019959;;0,018231;
230;6.924.610;;230;6,92461;6,948518;;0,023908;;;0,019959;0,003924;;-0,016035;
231;6.948.518;;231;6,948518;6,952467;;0,003949;;;0,003924;-0,028978;;-0,032902;
232;6.952.467;;232;6,952467;6,952492;;2,5E-05;;;-0,028978;0,021387;;0,050365;
233;6.952.492;;233;6,952492;6,981495;;0,029003;;;0,021387;-0,55091;;-0,572297;
234;6.981.495;;234;6,981495;6,989111;;0,007616;;;-0,55091;0,558115;;1,109025;
235;6.989.111;;235;6,989111;7,547637;;0,558526;;;0,558115;-0,000778;;-0,558893;
236;7.547.637;;236;7,547637;7,548048;;0,000411;;;-0,000778;0,000977;;0,001755;
237;7.548.048;;237;7,548048;7,549237;;0,001189;;;0,000977;-0,003678;;-0,004655;
238;7.549.237;;238;7,549237;7,549449;;0,000212;;;-0,003678;0,003628;;0,007306;
239;7.549.449;;239;7,549449;7,553339;;0,00389;;;0,003628;-0,000812;;-0,00444;
