No.;Time;;No.;Time;Time 2;;Delay;Total Delay;;Delay 1;Delay 2;;Jitter ;Total Jitter
193;53.034.521;;193;53,034521;53,067143;;0,032622;;;0,032459;-0,000494;;-0,032953;
194;53.067.143;;194;53,067143;53,067306;;0,000163;;;-0,000494;-0,028538;;-0,028044;
195;53.067.306;;195;53,067306;53,067963;;0,000657;;;-0,028538;0,027068;;0,055606;
196;53.067.963;;196;53,067963;53,097158;;0,029195;;;0,027068;0,002113;;-0,024955;
197;53.097.158;;197;53,097158;53,099285;;0,002127;;;0,002113;-0,000032;;-0,002145;
198;53.099.285;;198;53,099285;53,099299;;1,40E-05;;;-0,000032;0;;0,000032;
199;53.099.299;;199;53,099299;53,099345;;4,60E-05;;;0;0,000038;;0,000038;
200;53.099.345;;200;53,099345;53,099391;;4,60E-05;;;0,000038;-0,000015;;-0,000053;
201;53.099.391;;201;53,099391;53,099399;;8,00E-06;;;-0,000015;-0,024716;;-0,024701;
202;53.099.399;;202;53,099399;53,099422;;2,30E-05;;;-0,024716;0,024718;;0,049434;
203;53.099.422;;203;53,099422;53,124161;;0,024739;;;0,024718;-0,000038;;-0,024756;
204;53.124.161;;204;53,124161;53,124182;;2,10E-05;;;-0,000038;-0,00107;;-0,001032;
205;53.124.182;;205;53,124182;53,124241;;5,90E-05;;;-0,00107;0,000938;;0,002008;
206;53.124.241;;206;53,124241;53,12537;;0,001129;;;0,000938;0,000169;;-0,000769;
207;53.125.370;;207;53,12537;53,125561;;0,000191;;;0,000169;-0,027671;;-0,02784;
208;53.125.561;;208;53,125561;53,125583;;2,20E-05;;;-0,027671;0,027678;;0,055349;
209;53.125.583;;209;53,125583;53,153276;;0,027693;;;0,027678;0,000007;;-0,027671;
210;53.153.276;;210;53,153276;53,153291;;1,50E-05;;;0,000007;-0,000044;;-0,000051;
211;53.153.291;;211;53,153291;53,153299;;8,00E-06;;;-0,000044;-0,001581;;-0,001537;
212;53.153.299;;212;53,153299;53,153351;;5,20E-05;;;-0,001581;0,001623;;0,003204;
213;53.153.351;;213;53,153351;53,154984;;0,001633;;;0,001623;-0,000964;;-0,002587;
214;53.154.984;;214;53,154984;53,154994;;1,00E-05;;;-0,000964;0,000839;;0,001803;
215;53.154.994;;215;53,154994;53,155968;;0,000974;;;0,000839;-0,000605;;-0,001444;
216;53.155.968;;216;53,155968;53,156103;;0,000135;;;-0,000605;0,000467;;0,001072;
217;53.156.103;;217;53,156103;53,156843;;0,00074;;;0,000467;-0,043811;;-0,044278;
218;53.156.843;;218;53,156843;53,157116;;0,000273;;;-0,043811;0,044065;;0,087876;
219;53.157.116;;219;53,157116;53,2012;;0,044084;;;0,044065;-0,000056;;-0,044121;
220;53.201.200;;220;53,2012;53,201219;;1,90E-05;;;-0,000056;-1,444501;;-1,444445;
221;53.201.219;;221;53,201219;53,201294;;7,50E-05;;;-1,444501;-0,893763;;0,550738;
222;53.201.294;;222;53,201294;54,64587;;1,444576;;;-0,893763;2,233279;;3,127042;
223;54.645.870;;223;54,64587;56,984209;;2,338339;;;2,233279;-0,792735;;-3,026014;
224;56.984.209;;224;56,984209;57,089269;;0,10506;;;-0,792735;0,810654;;1,603389;
225;57.089.269;;225;57,089269;57,987064;;0,897795;;;0,810654;-0,829406;;-1,64006;
226;57.987.064;;226;57,987064;58,074205;;0,087141;;;-0,829406;0,830338;;1,659744;
227;58.074.205;;227;58,074205;58,990752;;0,916547;;;0,830338;-0,484351;;-1,314689;
228;58.990.752;;228;58,990752;59,076961;;0,086209;;;-0,484351;0,535737;;1,020088;
229;59.076.961;;229;59,076961;59,647521;;0,57056;;;0,535737;0,034173;;-0,501564;
230;59.647.521;;230;59,647521;59,682344;;0,034823;;;0,034173;-0,310627;;-0,3448;
231;59.682.344;;231;59,682344;59,682994;;0,00065;;;-0,310627;0,288838;;0,599465;
232;59.682.994;;232;59,682994;59,994271;;0,311277;;;0,288838;0,022281;;-0,266557;
233;59.994.271;;233;59,994271;60,01671;;0,022439;;;0,022281;-0,000311;;-0,022592;
234;60.016.710;;234;60,01671;60,016868;;0,000158;;;-0,000311;-0,049389;;-0,049078;
235;60.016.868;;235;60,016868;60,017337;;0,000469;;;-0,049389;-0,228597;;-0,179208;
236;60.017.337;;236;60,017337;60,067195;;0,049858;;;-0,228597;0,278291;;0,506888;
237;60.067.195;;237;60,067195;60,34565;;0,278455;;;0,278291;0,000127;;-0,278164;
238;60.345.650;;238;60,34565;60,345814;;0,000164;;;0,000127;-0,000061;;-0,000188;
239;60.345.814;;239;60,345814;60,345851;;3,70E-05;;;-0,000061;0,000041;;0,000102;
240;60.345.851;;240;60,345851;60,345949;;9,80E-05;;;0,000041;0,000036;;-5E-06;
241;60.345.949;;241;60,345949;60,346006;;5,70E-05;;;0,000036;-0,000004;;-0,00004;
242;60.346.006;;242;60,346006;60,346027;;2,10E-05;;;-0,000004;-0,000252;;-0,000248;
243;60.346.027;;243;60,346027;60,346052;;2,50E-05;;;-0,000252;0,000247;;0,000499;
244;60.346.052;;244;60,346052;60,346329;;0,000277;;;0,000247;0,00001;;-0,000237;
245;60.346.329;;245;60,346329;60,346359;;3,00E-05;;;0,00001;-0,003252;;-0,003262;
246;60.346.359;;246;60,346359;60,346379;;2,00E-05;;;-0,003252;-0,260491;;-0,257239;
247;60.346.379;;247;60,346379;60,349651;;0,003272;;;-0,260491;0,233141;;0,493632;
248;60.349.651;;248;60,349651;60,613414;;0,263763;;;0,233141;0,02383;;-0,209311;
249;60.613.414;;249;60,613414;60,644036;;0,030622;;;0,02383;0,006792;;-0,017038;
250;60.644.036;;250;60,644036;60,650828;;0,006792;;;0,006792;0;;-0,006792;
251;60.650.828;;251;60,650828;60,650828;;0;;;0;-0,000046;;-0,000046;
252;60.650.828;;252;60,650828;60,650828;;0;;;-0,000046;-0,341584;;-0,341538;
253;60.650.828;;253;60,650828;60,650874;;4,60E-05;;;-0,341584;0,341553;;0,683137;
254;60.650.874;;254;60,650874;60,992504;;0,34163;;;0,341553;-0,005312;;-0,346865;
255;60.992.504;;255;60,992504;60,992581;;7,70E-05;;;-0,005312;-0,029565;;-0,024253;
256;60.992.581;;256;60,992581;60,99797;;0,005389;;;-0,029565;0,018822;;0,048387;
257;60.997.970;;257;60,99797;61,032924;;0,034954;;;0,018822;-0,936143;;-0,954965;
258;61.032.924;;258;61,032924;61,049056;;0,016132;;;-0,936143;0,858636;;1,794779;
259;61.049.056;;259;61,049056;62,001331;;0,952275;;;0,858636;-0,44654;;-1,305176;
260;62.001.331;;260;62,001331;62,09497;;0,093639;;;-0,44654;0,540178;;0,986718;
261;62.094.970;;261;62,09497;62,635149;;0,540179;;;0,540178;-0,000335;;-0,540513;
262;62.635.149;;262;62,635149;62,63515;;1,00E-06;;;-0,000335;-0,038383;;-0,038048;
263;62.635.150;;263;62,63515;62,635486;;0,000336;;;-0,038383;0,004756;;0,043139;
264;62.635.486;;264;62,635486;62,674205;;0,038719;;;0,004756;0,03364;;0,028884;
265;62.674.205;;265;62,674205;62,708168;;0,033963;;;0,03364;-0,000169;;-0,033809;
266;62.708.168;;266;62,708168;62,708491;;0,000323;;;-0,000169;-0,013494;;-0,013325;
267;62.708.491;;267;62,708491;62,708983;;0,000492;;;-0,013494;0,012197;;0,025691;
268;62.708.983;;268;62,708983;62,722969;;0,013986;;;0,012197;0,001454;;-0,010743;
269;62.722.969;;269;62,722969;62,724758;;0,001789;;;0,001454;-0,002041;;-0,003495;
270;62.724.758;;270;62,724758;62,725093;;0,000335;;;-0,002041;-0,000277;;0,001764;
271;62.725.093;;271;62,725093;62,727469;;0,002376;;;-0,000277;-0,000233;;4,4E-05;
272;62.727.469;;272;62,727469;62,730122;;0,002653;;;-0,000233;0,002566;;0,002799;
273;62.730.122;;273;62,730122;62,733008;;0,002886;;;0,002566;-0,036561;;-0,039127;
274;62.733.008;;274;62,733008;62,733328;;0,00032;;;-0,036561;0,036856;;0,073417;
275;62.733.328;;275;62,733328;62,770209;;0,036881;;;0,036856;-0,000051;;-0,036907;
276;62.770.209;;276;62,770209;62,770234;;2,50E-05;;;-0,000051;-0,000563;;-0,000512;
277;62.770.234;;277;62,770234;62,77031;;7,60E-05;;;-0,000563;0,000571;;0,001134;
278;62.770.310;;278;62,77031;62,770949;;0,000639;;;0,000571;0,000017;;-0,000554;
279;62.770.949;;279;62,770949;62,771017;;6,80E-05;;;0,000017;-0,00101;;-0,001027;
280;62.771.017;;280;62,771017;62,771068;;5,10E-05;;;-0,00101;0,00105;;0,00206;
281;62.771.068;;281;62,771068;62,772129;;0,001061;;;0,00105;-0,000078;;-0,001128;
282;62.772.129;;282;62,772129;62,77214;;1,10E-05;;;-0,000078;0,000064;;0,000142;
283;62.772.140;;283;62,77214;62,772229;;8,90E-05;;;0,000064;-1E-06;;-0,000065;
284;62.772.229;;284;62,772229;62,772254;;2,50E-05;;;-1E-06;-0,000144;;-0,000143;
285;62.772.254;;285;62,772254;62,77228;;2,60E-05;;;-0,000144;-0,003417;;-0,003273;
286;62.772.280;;286;62,77228;62,77245;;0,00017;;;-0,003417;0,002951;;0,006368;
287;62.772.450;;287;62,77245;62,776037;;0,003587;;;0,002951;0,000408;;-0,002543;
